ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"177.38.5.33","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","209","FÁBIO MENDES DIAS LTDA ME","4153","socks4","149","1","2024-01-08T16:39:22.799Z","92","5159","5591"
"172.67.0.21","elite","AS13335","CA","Cloudflare, Inc.","81","Cloudflare, Inc.","13335","socks4","439","1","2024-01-08T16:39:22.427Z","100","5576","5576"
"154.66.108.32","elite","AS37642","LS","Comnet Pty Ltd","187","ISPClients","3629","socks4","254","45","2024-01-08T16:39:22.734Z","86","4770","5524"
"197.234.13.62","elite","AS36902","SC","Intelvision","171","Intelvision Ltd","4145","socks4","2399","1","2024-01-08T16:39:21.843Z","99","5586","5623"
"186.97.236.242","elite","AS27831","CO","Colombia Móvil","194","Colombia Móvil","5678","socks4","4512","1","2024-01-08T16:39:21.031Z","37","2065","5534"
"186.251.255.233","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","204","Seanet Telecom Carazinho Eireli","31337","socks4","3603","1","2024-01-08T16:39:21.836Z","100","5486","5513"
"201.184.63.218","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","155","EPM Telecomunicaciones S.A. E.S.P","8080","socks4","241","1","2024-01-08T16:39:21.924Z","98","5479","5591"
"24.125.77.113","elite","AS7725","US","Comcast Cable Communications, LLC","102","Comcast Cable Communications Holdings, Inc","55539","socks4","1299","1","2024-01-08T16:39:21.028Z","98","5537","5662"
"170.81.108.45","elite","AS266416","BR","L3 NETWORKS E TELECOMUNICACOES LTDA","294","L3 NETWORKS E TELECOMUNICACOES LTDA","4153","socks4","2206","30002","2024-01-08T16:39:21.845Z","100","1","1"
"102.134.154.254","elite","AS328399","ZA","Vaal Networking Consultants (PTY) LTD","182","VNC","5678","socks4","2101","1","2024-01-08T16:39:21.846Z","98","5532","5632"
"170.246.85.109","elite","AS265657","EC","Servicable Cia. Ltda.","165","Servicable Cia. Ltda","37163","socks4","125","30092","2024-01-08T16:39:21.030Z","100","1","1"
"160.16.125.237","elite","AS9370","JP","SAKURA Internet Inc.","297","SAKURA Internet Inc.","3030","socks5","4708","85","2024-01-08T16:39:20.330Z","100","5550","5558"
"154.19.185.66","elite","AS149042","US","SICLOUD INFORMATION TECHNOLOGY (HONGKONG) CO., LIMITED","147","SICLOUD INFORMATION TECHNOLOGY (HONGKONG) CO., LIMITED","18825","socks5","3797","1","2024-01-08T16:39:19.128Z","97","5387","5555"
"37.99.224.225","elite","AS48500","IT","INC-LOW","33","N/A","7497","socks5","3185","1","2024-01-08T16:39:19.836Z","100","5443","5462"
"101.51.83.64","elite","AS23969","TH","TOT Public Company Limited","200","TOT Public Company Limited","4145","socks4","4992","1","2024-01-08T16:39:19.129Z","50","2718","5487"
"203.30.189.103","elite","AS209242","BZ","Cloudflare London, LLC","11","Umpire Associates LTD","80","socks4","3295","1","2024-01-08T16:39:19.931Z","100","5497","5497"
"36.75.16.40","elite","AS7713","ID","PT. TELKOM INDONESIA","288","N/A","4153","socks5","2903","1","2024-01-08T16:39:19.839Z","78","4311","5507"
